authors,year,title,journal,raw_reference,"note: heuristic journal-based detection (Nat/Nature Reviews, Annual Review, Trends, Current Opinion, Briefings)"
"Statello, L., Guo, C.-J., Chen, L.-L",2021,"& Huarte, M",Gene regulation by long non-coding RNAs and its biological functions. Nat. Rev. Mol. Cell Biol,"Statello, L., Guo, C.-J., Chen, L.-L. & Huarte, M. Gene regulation by long non-coding RNAs and its biological functions. Nat. Rev. Mol. Cell Biol. 22, 96–118 (2021)."
"Carthew, R",2021,W,Gene regulation and cellular metabolism: an essential partnership. Trends Genet,"Carthew, R. W. Gene regulation and cellular metabolism: an essential partnership. Trends Genet. 37, 389–400 (2021)."
"Claringbould, A",2021,"& Zaugg, J",B. Enhancers in disease: molecular basis and emerging treatment strategies. Trends Mol. Med,"Claringbould, A. & Zaugg, J. B. Enhancers in disease: molecular basis and emerging treatment strategies. Trends Mol. Med. 27, 1060–1073 (2021)."
"Ideker, T., Galitski, T",2001,"& Hood, L",A new approach to decoding life: systems biology. Annu. Rev. Genomics Hum. Genet,"Ideker, T., Galitski, T. & Hood, L. A new approach to decoding life: systems biology. Annu. Rev. Genomics Hum. Genet. 2, 343–372 (2001)."
"Fiers, M",2018,W,E. J. et al. Mapping gene regulatory networks from single-cell omics data. Brief. Funct. Genomics,"Fiers, M. W. E. J. et al. Mapping gene regulatory networks from single-cell omics data. Brief. Funct. Genomics 17, 246–254 (2018)."
"Minnoye, L",2021,et al,Chromatin accessibility profiling methods. Nat. Rev. Methods Prim,"Minnoye, L. et al. Chromatin accessibility profiling methods. Nat. Rev. Methods Prim. 1, 1–24 (2021)."
"Thompson, D., Regev, A",2015,"& Roy, S",Comparative analysis of gene regulatory networks: from network reconstruction to evolution. Annu. Rev. Cell Dev. Biol,"Thompson, D., Regev, A. & Roy, S. Comparative analysis of gene regulatory networks: from network reconstruction to evolution. Annu. Rev. Cell Dev. Biol. 31, 399–428 (2015)."
"Inukai, S., Kock, K",2017,H,"& Bulyk, M. L. Transcription factor–DNA binding: beyond binding site motifs. Curr. Opin. Genet. Dev","Inukai, S., Kock, K. H. & Bulyk, M. L. Transcription factor–DNA binding: beyond binding site motifs. Curr. Opin. Genet. Dev. 43, 110–119 (2017)."
"Gasperini, M., Tome, J",2020,M,", Tome, J. M. & Shendure, J. Towards a comprehensive catalogue of validated and target-linked human enhancers. Nat. Rev. Genet","Gasperini, M., Tome, J. M. & Shendure, J. Towards a comprehensive catalogue of validated and target-linked human enhancers. Nat. Rev. Genet. 21, 292–310 (2020)."
"Yurkovsky, E",2013,"& Nachman, I",Event timing at the single-cell level. Brief. Funct. Genomics,"Yurkovsky, E. & Nachman, I. Event timing at the single-cell level. Brief. Funct. Genomics 12, 90–98 (2013)."
"Klemm, S",2019,"L., Shipony, Z","& Greenleaf, W. J. Chromatin accessibility and the regulatory epigenome. Nat. Rev. Genet","Klemm, S. L., Shipony, Z. & Greenleaf, W. J. Chromatin accessibility and the regulatory epigenome. Nat. Rev. Genet. 20, 207–220 (2019)."
"Yu, M",2017,"& Ren, B",The three-dimensional organization of mammalian genomes. Annu. Rev. Cell Dev. Biol,"Yu, M. & Ren, B. The three-dimensional organization of mammalian genomes. Annu. Rev. Cell Dev. Biol. 33, 265–289 (2017)."
"Ogbeide, S., Giannese, F., Mincarelli, L",2022,"& Macaulay, I",C. Into the multiverse: advances in single-cell multiomic profiling. Trends Genet,"Ogbeide, S., Giannese, F., Mincarelli, L. & Macaulay, I. C. Into the multiverse: advances in single-cell multiomic profiling. Trends Genet. 38, 831–843 (2022)."
"Uffelmann, E",2021,et al,Genome-wide association studies. Nat. Rev. Methods Prim,"Uffelmann, E. et al. Genome-wide association studies. Nat. Rev. Methods Prim. 1, 1–21 (2021)."
"Armingol, E., Officer, A., Harismendy, O",2021,"& Lewis, N",E. Deciphering cell–cell interactions and communication from gene expression. Nat. Rev. Genet,"Armingol, E., Officer, A., Harismendy, O. & Lewis, N. E. Deciphering cell–cell interactions and communication from gene expression. Nat. Rev. Genet. 22, 71–88 (2021)."
"Zambelli, F., Pesole, G",2013,"& Pavesi, G",Motif discovery and transcription factor binding sites before and after the next-generation sequencing era. Brief. Bioinform,"Zambelli, F., Pesole, G. & Pavesi, G. Motif discovery and transcription factor binding sites before and after the next-generation sequencing era. Brief. Bioinform 14, 225–237 (2013)."
